Brand,Product_Name,Region,State,Type,Brew_Format,Strength,Milk_Compatibility,Flavor_Profile,Pack_Size,Price_INR,Price_Per_100g,Image_URL,Packaging_Type
Bru,Gold (Freeze-Dried),Multi-Origin Blend,Karnataka,Instant,Instant Sachet,Strong,"Dairy, Almond","Roasted, Smooth",55g,275,500.0,https://www.hul.co.in/content-images/92ui5egz/production/9dc0aa001b6b4114bace83628b185a29bcef5a81-1920x1080.jpg,Sachet Box
Tata Coffee,Grand Filter Coffee,Coorg,Karnataka,Filter Coffee,Traditional Filter,Strong,Dairy,"Roasted, Bold",200g,272,136.0,,Pouch/Packet
Tata Coffee,Grand Classic Instant Coffee,Multi-Origin Blend,Tamil Nadu,Instant,Instant Sachet,Medium,Dairy,"Smooth, Aromatic, Decoction Crystals",45g Jar,125,278.0,https://www.tatanutrikorner.com/cdn/shop/files/CG_FOP.jpg?v=1774960396,Glass Jar
Colombian Brew,South Indian Quick Filter,Multi-Estate Blend,Karnataka,Filter Coffee,Traditional Filter,Strong,Dairy,"Bold, Earthy",200g,188,94.0,,Pouch/Packet
Blue Tokai,Basankhan Estate (Dark Roast),Chikmagalur,Karnataka,Filter Coffee,Ground Powder,Strong,Dairy,"Bittersweet, Roasted Malt, Toffee",250g,540,216.0,https://bluetokaicoffee.com/cdn/shop/files/Basankhan-estate-Front.jpg?v=1735021855&width=900,Pouch/Packet
Bevzilla,3-in-1 Coffee Premix (Zero Added Sugar),Multi-Origin Blend,Karnataka,Instant,"Milk Premix (2-in-1, No Sugar)",Medium,Dairy (Milk Powder Included),"Smooth, Stevia-Sweetened",Pack of 8 sachets,260,,,Sachet Box
Blue Tokai,Easy Pour Attikan Estate Drip Bags,Coorg,Karnataka,Filter Coffee,Drip Bag,Medium,"Dairy, Almond, Oat","Nutty, Chocolatey","5 sachets, 55g",279,507.0,,Sachet Box
Blue Tokai,Easy Pour Monsoon Malabar Drip Bags,Multi-Estate Blend,Karnataka,Filter Coffee,Drip Bag,Strong,Dairy,"Bold, Earthy, Chocolate","5 sachets, 55g",279,507.0,,Sachet Box
Third Wave Coffee,Vienna Roast Easy Pour Bags,Multi-Estate Blend,Karnataka,Filter Coffee,Drip Bag,Strong,Dairy,"Bold, Bitter, Dark Chocolate",100g pack,356,356.0,,Sachet Box
Blue Tokai,Silver Oak Blend Capsules,Multi-Estate Blend,Karnataka,Espresso,Capsule/Pod,Medium,"Dairy, Almond","Hazelnut, Honey, Grapes",Pack of 10 (5.5g each),450,818.0,https://bluetokaicoffee.com/cdn/shop/files/Silver-Oak-blend-coffee-capsules-10.jpg?v=1736757147&width=1080,Capsule Pack
Blue Tokai,Vienna Roast Capsules,Multi-Estate Blend,Karnataka,Espresso,Capsule/Pod,Strong,Dairy,"Oaky, Bittersweet, Cocoa",Pack of 10 (5.5g each),450,818.0,https://bluetokaicoffee.com/cdn/shop/files/Vienna-roast-coffee-capsules.jpg?v=1736417191&width=1080,Capsule Pack
Blue Tokai,Half-Caff (Yelnoorkhan Estate),Yelnoorkhan Estate,Karnataka,Filter Coffee,Ground Powder,Medium,Dairy,"Chocolate Biscuits, Roasted Hazelnut, Malt, Half Caff, Half-Caff, Less Caffeine",100g,450,450.0,https://bluetokaicoffee.com/cdn/shop/files/1.-Half-Caff__Front_b6fd7e82-a892-4233-9e4b-744783a97b6d.jpg?v=1763722998&width=1080,Pouch/Packet
Blue Tokai,Krishnagiri Estate (Dark Roast),Chikmagalur,Karnataka,Filter Coffee,Ground Powder,Strong,Dairy,"Oak, Toasted Walnuts, Malt",250g,700,280.0,https://bluetokaicoffee.com/cdn/shop/files/1.-Krishnagiri-Estate__Front.jpg?v=1784120117&width=1080,Pouch/Packet
Blue Tokai,Elkhill Estates (Anaerobic Washed),Coorg,Karnataka,Filter Coffee,Ground Powder,Medium,Dairy,"Orange, Brown Spice, Roasted Hazelnut",250g,800,320.0,https://bluetokaicoffee.com/cdn/shop/files/1.-Elkhill-Estates-_Front_39e2aeec-9d3e-4484-93e3-7028fbbe1aaf.jpg?v=1781529234&width=1080,Pouch/Packet
Blue Tokai,M.S. Estate,Chikmagalur,Karnataka,Filter Coffee,Ground Powder,Medium,Dairy,"Orange Marmalade, Dried Date, Earl Grey Tea",250g,800,320.0,https://bluetokaicoffee.com/cdn/shop/files/1.-M.S.-Estate__Front.jpg?v=1784120116&width=1080,Pouch/Packet
Coffeeza,Decaf Capsules,Multi-Origin Blend,Karnataka,Espresso,Capsule/Pod,Medium,Dairy,"Smooth, Decaf",Pack of 10 pods,390,,,Capsule Pack
Sleepy Owl,Instant Filter Coffee,Chikmagalur,Karnataka,Instant,Instant Sachet,Strong,Dairy,"Nutty, Kaapi, Robusta-Chicory",100g Glass Jar,349,349.0,https://sleepyowl.co/cdn/shop/files/Filter_Kaapi_FOP.jpg?v=1748328537,Glass Jar
Sleepy Owl,Decaf Instant Coffee (Pack of 30),Chikmagalur,Karnataka,Instant,Instant Sachet,Medium,Dairy,"Smooth, Aromatic, Decaf",Pack of 30 sachets,499,,https://sleepyowl.co/cdn/shop/files/decapfop.jpg?v=1752498540,Sachet Box
Sleepy Owl,Hazelnut Instant Coffee,Chikmagalur,Karnataka,Instant,Instant Sachet,Medium,Dairy,"Hazelnut, Chocolatey, Nutty",100g Glass Jar,599,599.0,https://sleepyowl.co/cdn/shop/files/Revised_Hazelnut.jpg?v=1781864341,Glass Jar
Araku Coffee,Grand Reserve,Araku Valley,Andhra Pradesh,Filter Coffee,Ground Powder,Medium,Dairy,"Tropical Fruits, Floral, Citrus, Dates, Olives",250g,940,376.0,https://www.arakucoffee.in/cdn/shop/files/Grand_Reserve_New.png?v=1780930799&width=1254,Pouch/Packet
Araku Coffee,Signature,Araku Valley,Andhra Pradesh,Filter Coffee,Ground Powder,Medium,Dairy,"Green Pepper, Cherry, Dark Chocolate",250g,670,268.0,https://www.arakucoffee.in/cdn/shop/files/Signature_new.png?v=1780926706&width=1254,Pouch/Packet
Araku Coffee,Selection,Araku Valley,Andhra Pradesh,Espresso,Ground Powder,Strong,Dairy,"Honey, Sugarcane, Dark Chocolate, Caramel",250g,760,304.0,https://www.arakucoffee.in/cdn/shop/files/Selection_new.png?v=1780927264&width=1254,Pouch/Packet
Araku Coffee,High Altitude,Araku Valley,Andhra Pradesh,Filter Coffee,Ground Powder,Medium,Dairy,"Rose Apple, Buttercream Cookies, Baker's Chocolate, Caramel",250g,940,376.0,https://www.arakucoffee.in/cdn/shop/files/HIGH_ALTITUDE.png?v=1777531472&width=2508,Pouch/Packet
Araku Coffee,Pocket Brew - Selection,Araku Valley,Andhra Pradesh,Filter Coffee,Drip Bag,Strong,Dairy,"Honey, Sugarcane, Dark Chocolate, Caramel",10 sachets,760,,https://www.arakucoffee.in/cdn/shop/files/IMG_2608_copy_1.jpg?v=1723551508&width=3883,Sachet Box
Araku Coffee,Pocket Brew - Micro Climate,Araku Valley,Andhra Pradesh,Filter Coffee,Drip Bag,Medium,Dairy,"Olives, Honey, Grapes, Dried Berry",10 sachets,580,,https://www.arakucoffee.in/cdn/shop/files/IMG_2667_copy_1.jpg?v=1723551657&width=4000,Sachet Box
Tata Coffee,Gold,Multi-Origin Blend,Karnataka,Instant,Instant Sachet,Strong,Dairy,"Full-Bodied, Aromatic, Freeze-Dried",90g Jar,315,350.0,https://www.tatanutrikorner.com/cdn/shop/files/1_83e62f12-ec78-48af-834d-22196e8db858-fococlipping-HD_2.png?v=1748858295,Glass Jar
Tata Coffee,Quick Filter,Multi-Origin Blend,Karnataka,Instant,Instant Sachet,Medium,Dairy,"Rich, Aromatic, Coffee-Chicory",50g,80,160.0,https://www.tatanutrikorner.com/cdn/shop/files/1_3bbef50c-1eb0-4145-b784-0d1e11bfa04c-removebg-preview.png?v=1748858294,Pouch/Packet
Tata Coffee,Grand Cold Coffee (French Vanilla),Multi-Origin Blend,Tamil Nadu,Cold Brew,Ready-to-Drink,Mild,Dairy,"Vanilla, Creamy, Sweet",180ml Can,60,,https://www.tatanutrikorner.com/cdn/shop/files/FOP_d79187f2-944a-4983-a696-5429e2051bf0-removebg-preview.png?v=1748858294,Bottle
Nescafe,Sunrise (Coffee-Chicory 60:40),Multi-Origin Blend,Karnataka,Instant,Instant Sachet,Medium,Dairy,"Rich, Balanced, Coffee-Chicory",200g,165,83.0,https://www.nescafe.com/in/sites/default/files/2025-05/44349573%20%281%29.png,Pouch/Packet
Nescafe,Classic (100% Pure Robusta),Multi-Origin Blend,Karnataka,Instant,Instant Sachet,Strong,"Dairy, Oat","Full-Bodied, Bold, Balanced",200g,500,250.0,https://www.nescafe.com/in/sites/default/files/2025-05/IN_2025_Nescafe%20Cl_Jar%20Mug%20652x652.png,Glass Jar
Levista,Premium Pouch (80:20),Coorg,Karnataka,Instant,Instant Sachet,Medium,Dairy,"Bold, Smooth, Coffee-Chicory",200g,540,270.0,https://levista.in/cdn/shop/files/2_9c6b9920-9e1e-4c14-ac7f-60ad2dd17809.png?v=1784639993,Pouch/Packet
Levista,Classic Pouch (100% Pure),Coorg,Karnataka,Instant,Instant Sachet,Strong,Dairy,"Pure, Bold, Full-Bodied, No Chicory",100g,324,324.0,https://levista.in/cdn/shop/files/2_47f6079d-3605-4263-b840-f8b55ad613ef.png?v=1784639404,Pouch/Packet
Levista,Classic Jar (100% Pure),Coorg,Karnataka,Instant,Instant Sachet,Strong,Dairy,"Pure, Bold, Full-Bodied, No Chicory",90g Jar,342,380.0,https://levista.in/cdn/shop/files/100gClassicpetbottle_FOP_3b17c21f-1e55-4e9d-a9df-3c4f003f5523.jpg?v=1724753677,Glass Jar
Levista,Premium 3g Sachets (Pack of 48),Coorg,Karnataka,Instant,Instant Sachet,Medium,Dairy,"Bold, Smooth, Coffee-Chicory",48 x 3g sachets,240,,https://levista.in/cdn/shop/files/Premium_Rs5.png?v=1784634608,Sachet Box
Narasus,Pure Instant Coffee (Jar),Yercaud,Tamil Nadu,Instant,Instant Sachet,Strong,Dairy,"Pure, Smooth, No Chicory",100g Jar,193,193.0,https://narasuscoffee.in/local_uploads/Artboard%2011770626393.jpg,Glass Jar
Narasus,Master Extra Strong Coffee (57:43),Yercaud,Tamil Nadu,Instant,Instant Sachet,Strong,Dairy,"Bold, Earthy, Extra Strong",230g (144x1.6g sachets),288,125.0,https://narasuscoffee.in/local_uploads/Artboard%2011768136108.jpg,Sachet Box
Narasus,Insta Strong Coffee (70:30),Yercaud,Tamil Nadu,Instant,Instant Sachet,Strong,Dairy,"Bold, Robust",120g (30x4g sachets),150,125.0,https://narasuscoffee.in/local_uploads/Artboard%2011768134860.jpg,Sachet Box
Narasus,3-in-1 Coffee Premix Stick Pack,Yercaud,Tamil Nadu,Instant,"Milk Premix (3-in-1, With Sugar)",Medium,Dairy (Milk Powder Included),"Creamy, Sweet, Smooth",108g (6x18g sticks),60,56.0,https://narasuscoffee.in/local_uploads/Artboard%2011768130981.jpg,Sachet Box
Narasus,Vidiyal Filter Coffee Decoction,Yercaud,Tamil Nadu,Filter Coffee,Liquid Decoction,Strong,Dairy,"Bold, Rich, Coffee-Chicory Decoction",200ml Pouch,129,,https://narasuscoffee.in/local_uploads/Artboard%2011768194051.jpg,Bottle
Narasus,Express Filter Coffee Decoction,Yercaud,Tamil Nadu,Filter Coffee,Liquid Decoction,Medium,Dairy,"Smooth, Quick-Brew Decoction",200ml Pouch,107,,https://narasuscoffee.in/local_uploads/Narasus%20Express1781006847.jpg,Bottle
Cothas,Speciality Blend (85:15),Chikmagalur,Karnataka,Filter Coffee,Traditional Filter,Strong,Dairy,"Deep, Chocolatey, Full-Bodied",50g,55,110.0,https://cothas.com/cdn/shop/files/Speciality_Blend_500_g-23_1200x1200.png?v=1775121687,Pouch/Packet
Cothas,Nova Blend (100% Pure Coffee),Multi-Estate Blend,Karnataka,Filter Coffee,Traditional Filter,Strong,Dairy,"Clean, Bright, Aromatic, No Chicory",200g,228,114.0,https://cothas.com/cdn/shop/files/Nova_Therm_200g-11_1200x1200.png?v=1775197948,Pouch/Packet
Cothas,Premium Blend (70:30),Multi-Estate Blend,Karnataka,Filter Coffee,Traditional Filter,Medium,Dairy,"Balanced, Smooth, Low-Acidity",100g,101,101.0,https://cothas.com/cdn/shop/files/0W2A8907_1200x1200.jpg?v=1772261222,Pouch/Packet
Cothas,Perfect Blend (80:20),Multi-Estate Blend,Karnataka,Filter Coffee,Traditional Filter,Strong,Dairy,"Rich, Well-Rounded, Bold",50g,52,104.0,https://cothas.com/cdn/shop/files/Perfect_Blend_Filter_Coffee_-_200g-25_page-0002_1200x1200.jpg?v=1775726530,Pouch/Packet
Cothas,INS Elite (80:20),Multi-Estate Blend,Karnataka,Instant,Instant Sachet,Strong,Dairy,"Bright, Complex, Aromatic",200g,174,87.0,https://cothas.com/cdn/shop/files/Hotel_Blend_INS_Elite_-_200g-65_page-0004_1200x1200.jpg?v=1775724711,Pouch/Packet
Devan's,Arabica Peaberry,Multi-Estate Blend,Karnataka,Filter Coffee,Whole Bean,Mild,Dairy,"Soft, Smooth, Delicate, Aromatic",250g,500,200.0,https://www.devans.in/cdn/shop/files/Arabica_20Peaberry_5000x_7ff7a51c-4f0d-42b1-a232-ea0ff68ed26d_600x.webp?v=1736165164,Pouch/Packet
Devan's,Viennese Blend,Multi-Estate Blend,Karnataka,Espresso,Whole Bean,Medium,Dairy,"Spicy, Aromatic, Medium-Strong",250g,525,210.0,https://www.devans.in/cdn/shop/files/016_5000x_b0c85348-7253-40c6-be70-fd61e73b6a3b_600x.webp?v=1712580025,Pouch/Packet
Devan's,Arabica French Roast (Plantation-AA),Chikmagalur,Karnataka,Filter Coffee,Whole Bean,Strong,Dairy,"Bold, Smoky, Dark, No Acidity",250g,525,210.0,https://www.devans.in/cdn/shop/files/002_5000x_75ada960-e1da-4675-ab2b-b4cd010c7256_600x.webp?v=1748871494,Pouch/Packet
Devan's,Robusta Kaapi Royale,Multi-Estate Blend,Karnataka,Filter Coffee,Whole Bean,Medium,Dairy,"Citrus, Spicy, Full-Bodied",250g,475,190.0,https://www.devans.in/cdn/shop/files/Robusta_20Kaapi_20Royale_5000x_598e9ecf-69fe-4531-bff1-3ac100c59f04_600x.webp?v=1736166144,Pouch/Packet
Devan's,Dip n Sip Coffee Bags (Lodhi Blend),Multi-Estate Blend,Karnataka,Filter Coffee,Drip Bag,Medium,Dairy,"Aromatic, Citrusy, Earthy",Box of 10 bags,600,,https://www.devans.in/cdn/shop/files/IMG_9730a_600x.jpg?v=1736230133,Sachet Box
Devan's,Monsooned Malabar Capsules,Malabar Coast,Kerala,Espresso,Capsule/Pod,Medium,Dairy,"Spice, Mustiness, Wood, Chocolate, Nuts",10 pods,550,,https://www.devans.in/cdn/shop/files/007_600x.jpg?v=1758609118,Capsule Pack
Devan's,Viennese Blend Capsules,Multi-Estate Blend,Karnataka,Espresso,Capsule/Pod,Medium,Dairy,"Spicy, Aromatic, Fine",10 pods,550,,https://www.devans.in/cdn/shop/files/012_600x.jpg?v=1758610035,Capsule Pack
Levista,Filter Coffee 80:20 (500g),Coorg,Karnataka,Filter Coffee,Traditional Filter,Strong,Dairy,"Bold, Smooth, Aromatic",500g,490,98.0,https://levista.in/cdn/shop/files/Filter_Coffee_80-20_500g.png?v=1784195979,Pouch/Packet
Levista,Filter Coffee 60:40 (500g),Coorg,Karnataka,Filter Coffee,Traditional Filter,Medium,Dairy,"Smooth, Strong, Traditional",500g,415,83.0,https://levista.in/cdn/shop/files/Filter_Coffee_60_40_500g.png?v=1784194843,Pouch/Packet
Gandhi's Coffee,Bababudangiris,Chikmagalur,Karnataka,Filter Coffee,Whole Bean,Medium,Dairy,"Spicy, Sweet, Dark Caramel",250g,325,130.0,https://total.coffee/wp-content/uploads/2021/02/1-7.jpg,Pouch/Packet
Gandhi's Coffee,Robusta Coffee Royale,Wayanad,Kerala,Filter Coffee,Whole Bean,Strong,Dairy,"High Caffeine, Heavy Bodied",250g,200,80.0,https://total.coffee/wp-content/uploads/2021/02/1-5.jpg,Pouch/Packet
Mountain Brewed Coffee,Wayanaad Robusta GI Tagged,Wayanad,Kerala,Filter Coffee,Ground Powder,Strong,Dairy,"Chocolate, Nuts, Spices, High Caffeine",250g,299,119.6,https://mountainbrewedcoffee.com/cdn/shop/files/GI.jpg?v=1720971654,Pouch/Packet
Nescafe,Black Roast (100% Pure),Multi-Origin Blend,Karnataka,Instant,Instant Sachet,Strong,"Dairy, Oat","Bold, Smoky, Roasted, No Chicory",90g Jar,350,389.0,,Glass Jar
Kumbakonam Degree Coffee,Pure Filter Coffee Powder (100% No Chicory),Multi-Estate Blend,Tamil Nadu,Filter Coffee,Traditional Filter,Strong,Dairy,"Rich Aroma, Strong, Smooth Aftertaste",250g,360,144.0,https://kumbakonamcoffeeindia.com/wp-content/uploads/2023/12/Kumbakonam-Degree-Coffee-Signature-Pure-Coffee.jpeg,Pouch/Packet
Kumbakonam Degree Coffee,Traditional Filter Coffee Powder (70:30),Multi-Estate Blend,Tamil Nadu,Filter Coffee,Traditional Filter,Strong,Dairy,"Bold, Smooth, Thick Decoction",250g,215,86.0,https://kumbakonamcoffeeindia.com/wp-content/uploads/2025/05/kumbakonam-degree-coffee-filter-coffee-powder-70-30-pack.webp,Pouch/Packet
Continental,Xtra (Strongest Instant Coffee),Multi-Origin Blend,Karnataka,Instant,Instant Sachet,Strong,Dairy,"Bold, Strong, Coffee-Chicory",200g Jar,445,222.5,https://shop.continental.coffee/cdn/shop/files/Xtra_200g_Jar_1_20x20_crop_center.jpg?v=1755082418,Glass Jar
Continental,Speciale Assorted Flavoured Coffee Sachets (48 Pack),Multi-Origin Blend,Karnataka,Instant,Instant Sachet,Medium,Dairy,"Hazelnut, Vanilla, Mocha, Caramel",Pack of 48 sachets,229,,https://shop.continental.coffee/cdn/shop/files/Speciale_A__Assortedpack-01_20x20_crop_center.jpg?v=1764141433,Sachet Box
Continental,Xtra (Strongest Instant Coffee) Trial Pouch,Multi-Origin Blend,Karnataka,Instant,Instant Sachet,Strong,Dairy,"Bold, Strong, Coffee-Chicory",50g,135,270.0,https://shop.continental.coffee/cdn/shop/files/50g_Pouch_jpg_20x20_crop_center.jpg?v=1770714287,Pouch/Packet
Bru,Instant Coffee Sachet (MRP ₹2),Multi-Origin Blend,Karnataka,Instant,Instant Sachet,Strong,"Dairy, Almond","Roasted, Bold",Single Sachet (2.2g),2,90.9,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQod_uKxE4eJTMMxhEL0Sv4Nf0FMis7FC2v6Jivb3BuAWHjIWlWrYGc7c1VGezp7OUiX_vuHGnY-1b1YsKVbHlunv6WmauHcvaU6V7Ijswj7aOmviCMXM8,Sachet Box
Nescafe,Sunrise Sachet (MRP ₹2),Multi-Origin Blend,Karnataka,Instant,Instant Sachet,Medium,Dairy,"Rich, Balanced, Coffee-Chicory",Single Sachet (2g),2,100.0,,Sachet Box
Continental,Xtra Sachet (MRP ₹2),Multi-Origin Blend,Karnataka,Instant,Instant Sachet,Strong,Dairy,"Bold, Strong, Coffee-Chicory (60:40)",Single Sachet (2.2g),2,90.9,https://shop.continental.coffee/cdn/shop/files/image_1.jpg?v=1787050917,Sachet Box
Continental,Speciale Sachet (MRP ₹2),Multi-Origin Blend,Karnataka,Instant,Instant Sachet,Medium,Dairy,"Pure, Aromatic, No Chicory",Single Sachet (2.2g),2,90.9,,Sachet Box
Cothas,Filter Coffee Decoction (70:30),Multi-Estate Blend,Karnataka,Filter Coffee,Liquid Decoction,Strong,Dairy,"Rich, Aromatic, Coffee-Chicory",200ml,90,,https://cothas.com/cdn/shop/files/FilterCoffeedecoctions70-3020ml-03_600x.png?v=1780634943,Bottle
iD Fresh Food,Instant Filter Coffee Liquid (Strong),Chikmagalur,Karnataka,Filter Coffee,Liquid Decoction,Strong,Dairy,"Strong, Aromatic, Coffee-Chicory (70:30)",150ml,116,,,Bottle
iD Fresh Food,Instant Filter Coffee Liquid (Bold),Chikmagalur,Karnataka,Filter Coffee,Liquid Decoction,Medium,Dairy,"Bold, Rich, Coffee-Chicory (80:20)",150ml,126,,,Bottle
